comparison_type,comparison_label,model_seed,independent_unit,left_checkpoint_step,right_checkpoint_step,left_phase_label,right_phase_label,phase_alignment_status,metric,left_value,right_value,source_defined,target_defined,paired_change_right_minus_left,metric_status,undefined_reason,inclusion_status,exclusion_reason,right_censoring_involved,direction
pre_to_post,pre_to_post,0,trained_model_seed,200,9050,delayed_pre_generalisation,stable_post,phase_aligned,structural_family_size,0,6,True,True,6,defined,,included_in_metric_summary,,False,positive
pre_to_post,pre_to_post,0,trained_model_seed,200,9050,delayed_pre_generalisation,stable_post,phase_aligned,transfer_distinct_group_count,,1,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_post,pre_to_post,0,trained_model_seed,200,9050,delayed_pre_generalisation,stable_post,phase_aligned,median_pairwise_overlap,,0.1565217391304348,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_post,pre_to_post,0,trained_model_seed,200,9050,delayed_pre_generalisation,stable_post,phase_aligned,median_circuit_size,,71.0,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_post,pre_to_post,0,trained_model_seed,200,9050,delayed_pre_generalisation,stable_post,phase_aligned,mean_transfer_fidelity,,0.9909547693442566333333333333,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_post,pre_to_post,0,trained_model_seed,200,9050,delayed_pre_generalisation,stable_post,phase_aligned,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
pre_to_post,pre_to_post,0,trained_model_seed,200,9050,delayed_pre_generalisation,stable_post,phase_aligned,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
pre_to_transition,pre_to_grid_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,phase_aligned,structural_family_size,0,0,True,True,0,defined,,included_in_metric_summary,,False,zero
pre_to_transition,pre_to_grid_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,phase_aligned,transfer_distinct_group_count,,,False,False,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,phase_aligned,median_pairwise_overlap,,,False,False,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,phase_aligned,median_circuit_size,,,False,False,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,phase_aligned,mean_transfer_fidelity,,,False,False,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,phase_aligned,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
pre_to_transition,pre_to_grid_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,phase_aligned,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
pre_to_transition,pre_to_grid_3,0,trained_model_seed,200,7450,delayed_pre_generalisation,stable_post,phase_misaligned,structural_family_size,0,7,True,True,7,defined,,included_in_metric_summary,,False,positive
pre_to_transition,pre_to_grid_3,0,trained_model_seed,200,7450,delayed_pre_generalisation,stable_post,phase_misaligned,transfer_distinct_group_count,,1,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_3,0,trained_model_seed,200,7450,delayed_pre_generalisation,stable_post,phase_misaligned,median_pairwise_overlap,,0.17266187050359713,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_3,0,trained_model_seed,200,7450,delayed_pre_generalisation,stable_post,phase_misaligned,median_circuit_size,,81,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_3,0,trained_model_seed,200,7450,delayed_pre_generalisation,stable_post,phase_misaligned,mean_transfer_fidelity,,0.9903017998024958428571428571,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
